Dimension moyenne (mm);K(m/s)
0.062;5.6640E-06
0.068;6.6080E-06
0.11;1.3688E-05
0.11;1.7464E-05
0.12;8.9680E-06
0.12;3.9648E-05
0.14;4.9560E-05
0.15;3.8232E-05
0.16;3.5400E-05
0.16;5.6640E-05
0.17;4.7200E-05
0.18;3.3512E-05
0.19;1.4632E-05
0.19;7.5520E-05
0.19;1.2272E-04
0.2;2.3600E-05
0.21;1.7464E-05
0.21;2.8320E-05
0.22;2.5960E-05
0.23;1.4632E-05
0.24;4.1064E-05
0.24;8.0240E-05
0.25;8.4960E-05
0.26;6.1360E-05
0.26;6.8440E-05
0.27;1.7464E-05
0.27;9.4400E-05
0.28;3.5872E-05
0.28;7.5520E-05
0.29;9.3456E-05
0.3;4.2008E-05
0.29;1.9824E-04
0.3;1.5576E-04
0.32;5.6640E-05
0.32;1.2744E-04
0.37;7.0800E-05
0.37;1.7936E-04
0.38;9.6760E-05
0.39;1.1328E-04
0.4;1.2272E-04
0.4;1.7464E-04
0.42;1.9116E-04
0.42;2.7376E-04
0.43;2.6432E-04
0.44;2.6904E-04
0.45;1.5576E-04
0.47;1.9352E-04
0.47;3.1624E-04
0.48;9.4400E-05
0.49;2.7376E-04
0.5;3.3040E-04
0.5;4.0592E-04
0.55;3.2096E-04
0.6;5.6640E-06
0.6;1.1800E-04
0.63;1.2272E-04
0.74;1.8880E-04
0.94;2.5960E-04
0.95;2.3600E-04
