X,Y,U,Pb,Mo
-62.65212284,50.50343374,5.2,4.07,0.69
-62.03443581,50.39218791,5.6,5.22,1.72
-62.19742801,50.33748616,2.1,7.44,0.46
-62.79224501,50.66436791,3.8,9.0,5.0
-62.52796003,50.5205155,3.5,8.67,0.39
-62.9332209,50.60036838,3.6,4.88,5.77
-62.81065606,50.66017254,1.5,4.19,0.15
-62.94646204,50.66157307,7.4,2.66,4.03
-62.90832064,50.4198117,37.6,4.83,3.0
-62.88909533,50.59312224,1.1,3.88,0.62
-62.27534169,50.39789528,14.3,8.15,0.69
-62.97515917,50.60041185,0.8,3.77,2.25
-62.93104595,50.37683877,5.9,6.42,1.99
-62.66097667,50.59618904,5.6,3.74,2.87
-62.85551886,50.65583021,17.3,4.25,3.21
-62.58338922,50.53754445,3.5,4.06,0.95
-62.92992867,50.46695195,4.3,3.59,1.68
-62.488296,50.40532234,2.1,4.04,0.68
-62.51036557,50.59446627,1.5,4.35,0.73
-62.46080752,50.65710061,1.3,8.48,0.85
-62.72407655,50.50186383,2.3,6.96,0.78
-62.90965461,50.55460429,2.0,2.74,0.76
-62.57591516,50.56845422,2.4,3.32,0.74
-62.83766863,50.51526177,0.6,1.64,0.58
-62.26768161,50.50230671,4.0,8.53,1.27
-62.03358615,50.4554061,7.2,6.57,1.29
-62.93104595,50.37683877,5.9,6.42,1.99
-62.77904708,50.57312658,1.2,13.52,0.69
-62.67847216,50.37542555,2.5,11.82,2.54
-62.50290453,50.56640282,2.9,2.56,2.47
-62.64646289,50.57588428,5.8,3.82,1.61
-62.30936862,50.33163951,3.2,9.25,0.4
-62.80537464,50.60296785,1.8,3.57,0.75
-62.28100363,50.6027643,1.6,6.15,0.72
-62.02498061,50.47655915,7.2,7.28,0.91
-62.56732237,50.55692927,2.2,3.74,1.41
-62.8673528,50.56279256,1.4,4.38,0.84
-62.90856254,50.53534898,1.5,2.87,1.21
-62.30936862,50.33163951,3.2,9.25,0.4
-62.44917112,50.25863771,6.5,8.85,1.04
-62.14415433,50.7445974,3.1,7.46,1.36
-62.77103756,50.55029538,3.9,3.33,1.52
-62.62183204,50.52301661,3.7,3.77,1.97
